index,tag,depth,id,classes,attrs,inner_text_len
135,li,7,,,"{""data-analytics-label"": ""Muk | "", ""data-content-id"": ""featured-item"", ""data-content-type"": ""Slider"", ""data-content-variation"": ""slideCenter"", ""data-content-location"": """", ""data-content-category"": ""Featured Pokemon"", ""data-content-download"": """"}",55
136,div,8,,pokedex-bg,{},2
137,img,8,,pokemon-character preload,"{""data-preload-src"": ""/static-assets/content-assets/cms2/img/pokedex/full/089.png"", ""alt"": ""Muk""}",0
138,div,8,,mini-profile,{},42
139,h5,9,,,{},5
140,span,10,,pokedex,{},2
141,dl,9,,,{},37
142,dt,10,,,{},4
143,dd,10,,types,{},6
144,span,11,,type-label background-color-poison,{},6
145,dt,10,,,{},9
146,dd,10,,abilities,{},18
147,span,11,,ability-label,{},6
148,span,11,,ability-label,{},11
149,span,9,,notch-bottom-center-small,{},0
150,a,8,,block-link,"{""href"": ""/us/pokedex/muk"", ""title"": ""Muk"", ""style"": ""background-color: #fff; opacity: 0;""}",11
151,span,9,,offscreen,{},11
152,li,7,,,"{""data-analytics-label"": ""Vaporeon | "", ""data-content-id"": ""featured-item"", ""data-content-type"": ""Slider"", ""data-content-variation"": ""slideCenter"", ""data-content-location"": """", ""data-content-category"": ""Featured Pokemon"", ""data-content-download"": """"}",60
153,div,8,,pokedex-bg,{},3
154,img,8,,pokemon-character preload,"{""data-preload-src"": ""/static-assets/content-assets/cms2/img/pokedex/full/134.png"", ""alt"": ""Vaporeon""}",0
155,div,8,,mini-profile,{},41
156,h5,9,,,{},11
157,span,10,,pokedex,{},3
158,dl,9,,,{},30
159,dt,10,,,{},4
160,dd,10,,types,{},5
161,span,11,,type-label background-color-water,{},5
162,dt,10,,,{},9
163,dd,10,,abilities,{},12
164,span,11,,ability-label,{},12
165,span,9,,notch-bottom-center-small,{},0
166,a,8,,block-link,"{""href"": ""/us/pokedex/vaporeon"", ""title"": ""Vaporeon"", ""style"": ""background-color: #fff; opacity: 0;""}",16
167,span,9,,offscreen,{},16
168,li,7,,,"{""data-analytics-label"": ""Bayleef | "", ""data-content-id"": ""featured-item"", ""data-content-type"": ""Slider"", ""data-content-variation"": ""slideCenter"", ""data-content-location"": """", ""data-content-category"": ""Featured Pokemon"", ""data-content-download"": """"}",54
169,div,8,,pokedex-bg,{},3
170,img,8,,pokemon-character preload,"{""data-preload-src"": ""/static-assets/content-assets/cms2/img/pokedex/full/153.png"", ""alt"": ""Bayleef""}",0
171,div,8,,mini-profile,{},36
172,h5,9,,,{},10
